"avg_delivery_delay_days","avg_review_score"
"22.70","4.0"
"45.82","1.0"
"15.82","5.0"
"44.06","1.0"
"4.48","5.0"
"19.62","4.0"
"19.48","4.0"
"8.36","3.0"
"21.94","3.0"
"11.59","5.0"
"6.24","5.0"
"9.32","1.0"
"5.73","1.0"
"14.45","3.0"
"15.19","1.0"
"14.89","4.0"
"11.91","5.0"
"2.11","5.0"
"3.81","4.0"
"14.74","3.0"
"11.02","5.0"
"8.38","4.0"
"15.23","4.0"
"7.80","5.0"
"4.41","1.0"
"28.21","1.0"
"9.01","5.0"
"8.93","3.0"
"46.70","1.0"
"15.82","4.0"
"5.00","5.0"
"53.89","1.0"
"8.01","5.0"
"9.46","5.0"
"12.19","5.0"
"11.00","5.0"
"5.51","5.0"
"24.84","2.0"
"13.32","5.0"
"12.31","5.0"
"9.30","5.0"
"16.24","3.0"
"7.75","5.0"
"17.20","2.0"
"7.66","5.0"
"5.00","4.0"
"13.07","5.0"
"15.92","5.0"
"18.57","5.0"
"8.21","1.0"
"41.32","1.0"
"11.20","5.0"
"14.20","5.0"
"6.11","5.0"
"20.37","4.0"
"16.99","3.0"
"8.60","4.0"
"13.82","5.0"
"12.44","4.0"
"13.97","5.0"
"15.87","5.0"
"12.05","5.0"
"40.97","1.0"
"4.13","5.0"
"28.20","4.0"
"16.11","5.0"
"12.90","5.0"
"10.92","4.0"
"1.81","5.0"
"16.08","5.0"
"15.35","5.0"
"4.69","5.0"
"22.38","4.0"
"7.95","5.0"
"46.08","1.0"
"15.25","5.0"
"4.92","4.0"
"13.29","1.0"
"1.83","2.0"
"9.24","4.0"
"10.27","5.0"
"8.46","5.0"
"16.97","5.0"
"21.20","5.0"
"9.06","4.0"
"7.57","5.0"
"5.48","4.0"
"13.81","1.0"
"18.07","3.0"
"33.57","1.0"
"5.42","5.0"
"13.58","5.0"
"16.23","5.0"
"12.73","5.0"
"10.43","5.0"
"7.26","5.0"
"6.92","1.0"
"26.61","1.0"
"7.14","5.0"
"1.92","5.0"
"5.23","4.0"
"9.24","5.0"
"27.79","5.0"
"15.98","4.0"
"8.86","5.0"
"5.36","5.0"
"4.31","3.0"
"6.50","5.0"
"12.36","4.0"
"16.96","5.0"
