"freight_cost","avg_review_score"
"83.27","5.00"
"1.06","5.00"
"66.08","5.00"
"84.38","5.00"
"63.63","5.00"
"31.14","5.00"
"31.51","5.00"
"133.39","5.00"
"72.15","5.00"
"126.29","5.00"
"39.81","5.00"
"42.28","5.00"
"59.06","5.00"
"186.01","5.00"
"37.35","5.00"
"1.68","5.00"
"49.26","5.00"
"105.07","5.00"
"1.46","5.00"
"120.19","5.00"
"75.75","5.00"
"7.30","5.00"
"43.89","5.00"
"113.67","5.00"
"87.54","5.00"
"38.85","5.00"
"119.56","5.00"
"170.86","5.00"
"86.53","5.00"
"54.77","5.00"
"3.60","5.00"
"113.01","5.00"
"67.42","5.00"
"66.89","5.00"
"56.16","5.00"
"92.28","5.00"
"39.67","5.00"
"71.30","5.00"
"87.73","5.00"
"61.97","5.00"
"32.47","5.00"
"30.51","5.00"
"96.84","5.00"
"30.99","5.00"
"58.07","5.00"
"90.15","5.00"
"64.21","5.00"
"64.92","5.00"
"83.07","5.00"
"69.75","5.00"
"4.67","5.00"
"50.48","5.00"
"147.57","5.00"
"99.56","5.00"
"64.09","5.00"
"6.24","5.00"
"56.11","5.00"
"67.81","5.00"
"60.47","5.00"
"72.90","5.00"
"96.12","5.00"
"44.38","5.00"
"137.13","5.00"
"29.06","5.00"
"92.58","5.00"
"55.23","5.00"
"52.04","5.00"
"72.03","5.00"
"116.31","5.00"
"74.00","5.00"
"58.44","5.00"
"70.56","5.00"
"46.85","5.00"
"114.42","5.00"
"41.31","5.00"
"82.58","5.00"
"150.56","5.00"
"99.48","5.00"
"114.56","5.00"
"60.73","5.00"
"80.13","5.00"
"52.94","5.00"
"63.22","5.00"
"48.24","5.00"
"147.52","5.00"
"57.82","5.00"
"40.66","5.00"
"50.62","5.00"
"62.37","5.00"
"56.99","5.00"
"46.98","5.00"
"32.39","5.00"
"37.38","5.00"
"0.76","5.00"
"118.06","5.00"
"68.24","5.00"
"106.63","5.00"
"60.26","5.00"
"99.14","5.00"
"30.93","5.00"
"105.76","5.00"
"147.32","5.00"
"44.60","5.00"
"54.09","5.00"
"108.74","5.00"
"91.74","5.00"
"51.17","5.00"
"45.08","5.00"
"81.78","5.00"
"42.21","5.00"
"88.22","5.00"
"86.54","5.00"
"40.53","5.00"
"40.71","5.00"
"67.64","5.00"
"78.00","5.00"
"62.52","5.00"
"4.63","5.00"
"164.98","5.00"
"34.74","5.00"
"58.61","5.00"
"55.93","5.00"
"76.23","5.00"
"63.02","5.00"
"41.45","5.00"
"78.77","5.00"
"73.46","5.00"
"65.18","5.00"
"48.22","5.00"
"39.90","5.00"
"44.35","5.00"
"69.45","5.00"
"76.44","5.00"
"24.37","5.00"
"68.18","5.00"
"33.55","5.00"
"61.61","5.00"
"89.34","5.00"
"80.96","5.00"
"69.34","5.00"
"44.23","5.00"
"40.94","5.00"
"6.33","5.00"
"33.21","5.00"
"108.07","5.00"
"64.02","5.00"
"46.71","5.00"
"55.72","5.00"
"44.16","5.00"
"41.84","5.00"
"24.28","5.00"
"128.17","5.00"
"66.19","5.00"
"43.83","5.00"
"41.51","5.00"
"125.84","5.00"
"54.57","5.00"
"32.03","5.00"
"53.64","5.00"
"53.05","5.00"
